О-в Сахалин,Охотский,"0,05","0,04","0,94","0,48","0,48","0,04","0,01","0,16","0,83"
,,"0,05","0,06","0,88","0,45","0,25","0,30","0,02","0,20","0,78"
,,"0,16","0,06","0,78","0,40","0,43","0,17","0,03","0,13","0,83"
,,"0,20","0,05","0,75","0,54","0,37","0,09","0,00","0,14","0,86"
,,"0,09","0,01","0,89","0,43","0,50","0,08","0,03","0,12","0,85"
,,"0,14","0,19","0,67","0,48","0,23","0,29","0,03","0,20","0,77"
,,"0,10","0,14","0,76","0,29","0,29","0,42","0,00","0,12","0,88"
,,"0,20","0,03","0,77","0,55","0,39","0,06","0,00","0,09","0,91"
,,"0,11","0,04","0,85","0,49","0,39","0,12","0,03","0,09","0,88"
,,"0,15","0,13","0,73","0,40","0,33","0,28","0,03","0,10","0,87"
,,"0,19","0,13","0,67","0,32","0,40","0,28","0,00","0,10","0,90"
,,"0,23","0,07","0,70","0,40","0,46","0,14","0,03","0,06","0,90"
,Сусуйский,"0,04","0,16","0,80","0,35","0,14","0,51","0,00","0,23","0,77"
,,"0,03","0,13","0,85","0,52","0,08","0,40","0,08","0,10","0,81"
,,"0,10","0,06","0,84","0,55","0,29","0,16","0,13","0,10","0,78"
Г. Вакканай,Охотский,"0,14","0,59","0,27","0,24","0,14","0,61","0,09","0,13","0,78"
,,"0,37","0,15","0,48","0,49","0,37","0,14","0,10","0,07","0,83"
,,"0,02","0,94","0,04","0,38","0,01","0,60","0,09","0,01","0,90"
,,"0,05","0,89","0,06","0,08","0,05","0,87","0,02","0,01","0,97"
,,"0,13","0,82","0,05","0,18","0,11","0,71","0,20","0,03","0,77"
,,"0,12","0,17","0,70","0,15","0,36","0,50","0,08","0,21","0,71"
,,"0,47","0,15","0,38","0,56","0,33","0,10","0,10","0,28","0,62"
,,"0,07","0,84","0,08","0,18","0,07","0,75","0,02","0,02","0,96"
,,"0,11","0,69","0,20","0,05","0,13","0,82","0,00","0,05","0,95"
,,"0,41","0,33","0,26","0,13","0,48","0,39","0,02","0,31","0,67"
,Сусуйский,"0,19","0,53","0,27","0,21","0,21","0,58","0,12","0,15","0,73"
,,"0,09","0,69","0,22","0,39","0,07","0,54","0,24","0,05","0,71"
,,"0,35","0,22","0,42","0,45","0,34","0,21","0,22","0,09","0,68"
,,"0,28","0,62","0,11","0,41","0,18","0,41","0,06","0,15","0,79"
,,"0,33","0,61","0,07","0,20","0,28","0,52","0,09","0,04","0,87"
,,"0,42","0,27","0,31","0,50","0,30","0,19","0,00","0,10","0,90"
,,"0,27","0,58","0,15","0,31","0,22","0,47","0,08","0,14","0,78"
,,"0,59","0,32","0,09","0,45","0,36","0,19","0,28","0,16","0,56"
,,"0,40","0,48","0,12","0,40","0,27","0,33","0,09","0,22","0,69"
,,"0,26","0,55","0,19","0,39","0,20","0,41","0,15","0,03","0,82"
,,"0,13","0,04","0,84","0,61","0,30","0,08","0,00","0,14","0,86"
О-в Рисири,Охотский,"0,11","0,32","0,57","0,37","0,16","0,47","0,11","0,06","0,83"
,,"0,05","0,31","0,63","0,38","0,09","0,53","0,11","0,18","0,71"
,,"0,07","0,83","0,10","0,09","0,07","0,84","0,10","0,04","0,86"
,,"0,23","0,42","0,34","0,58","0,15","0,27","0,19","0,10","0,71"
,,"0,07","0,91","0,02","0,27","0,05","0,68","0,06","0,03","0,91"
,,"0,13","0,80","0,06","0,29","0,10","0,61","0,06","0,04","0,90"
